RowIndex,Day,Hour,AcPwrt,DcVolt,Temper,Vl1to2,Vl2to3,Vl3to1,AcCur1,AcVlt1
1,2023-12-1,00:05:00,0,,37,482,478.5,483,0,279.30000000000001
2,2023-12-1,00:10:00,0,,37,481.80000000000001,478.30000000000001,483,0,279.19999999999999
3,2023-12-1,00:15:00,0,,37,480.60000000000002,476.80000000000001,481.60000000000002,0,278.5
4,2023-12-1,00:20:00,0,,37,481.5,479,482.89999999999998,0,279
5,2023-12-1,00:25:00,0,,37,481.39999999999998,478.19999999999999,482.5,0,279.19999999999999
6,2023-12-1,00:30:00,0,,37,481,478.10000000000002,482.19999999999999,0,278.69999999999999
7,2023-12-1,00:35:00,0,,37,481.60000000000002,479.30000000000001,483.19999999999999,0,278.89999999999998
8,2023-12-1,00:40:00,0,,37,480.39999999999998,478,481.89999999999998,0,278.39999999999998
9,2023-12-1,00:45:00,0,,37,481.80000000000001,479.10000000000002,483.39999999999998,0,279.30000000000001
10,2023-12-1,00:50:00,0,,37,481.19999999999999,478.5,482.89999999999998,0,278.89999999999998
11,2023-12-1,00:55:00,0,,37,482.10000000000002,478.69999999999999,483.30000000000001,0,279.60000000000002
12,2023-12-1,01:00:00,0,,37,481.30000000000001,478.10000000000002,482.30000000000001,0,278.89999999999998
13,2023-12-1,01:05:00,0,,37,481.10000000000002,478.39999999999998,482.60000000000002,0,278.80000000000001
14,2023-12-1,01:10:00,0,,37,482,478.60000000000002,483.30000000000001,0,279.60000000000002
15,2023-12-1,01:15:00,0,,37,482.89999999999998,480.19999999999999,483.60000000000002,0,280
16,2023-12-1,01:20:00,0,,37,481.80000000000001,479.39999999999998,483,0,279.10000000000002
17,2023-12-1,01:25:00,0,,37,483.10000000000002,480.5,484.60000000000002,0,279.89999999999998
18,2023-12-1,01:30:00,0,,37,483,480.89999999999998,484.80000000000001,0,279.80000000000001
19,2023-12-1,01:35:00,0,,37,482,479.19999999999999,483.69999999999999,0,279.60000000000002
20,2023-12-1,01:40:00,0,,37,482,479.39999999999998,483.89999999999998,0,279.30000000000001
